source_row_id,names,orig_title,release_year,reason,unmatched_reason,best_candidate_title,best_candidate_original_title,best_candidate_year,best_candidate_tmdb_id,best_candidate_confidence,duplicate_of_tmdb_id
4867,Hero,英雄,2004.0,Confidence below threshold (0.61 < 0.82).,Confidence below threshold (0.61 < 0.82).,The Hero,O Herói,2004.0,218202.0,0.6147,
4874,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2018.0,Best title similarity below threshold.,Best title similarity below threshold.,The Origins of Ebbing,The Origins of Ebbing,2018.0,604847.0,0.6782,
4875,Ocean Waves,海がきこえる,2010.0,Best title similarity below threshold.,Best title similarity below threshold.,海がきこえる あれから10年、僕らの青春,海がきこえる あれから10年、僕らの青春,,969004.0,0.5577,
4879,The Wolf's Call,Le Chant du loup,2020.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,The Wolf's Call,Le Chant du loup,2019.0,484468.0,0.7921,
4880,Unstoppable,Unstoppable,2011.0,Confidence below threshold (0.66 < 0.82).,Confidence below threshold (0.66 < 0.82).,Unstoppable Family,가문의 영광 4: 가문의 수난,2011.0,85491.0,0.6587,
4884,Walk the Line,Walk the Line,2006.0,Best title similarity below threshold.,Best title similarity below threshold.,Celebrating the Man in Black: The Making of Walk the Line,Celebrating the Man in Black: The Making of Walk the Line,2006.0,1007115.0,0.6241,
4885,An Egg-celent movie,Una Película de Huevos,2006.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,A Movie of Eggs,Una película de huevos,2006.0,16761.0,0.8159,
4886,My Friend's Nice Mother 2,착한 엄마친구 2,2018.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
4898,Tri m: Người Giữ Thời Gian,Tri m: Người Giữ Thời Gian,2023.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
4919,Sex and Death 101,Sex and Death 101,2009.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4931,Halloween III: Season of the Witch,Halloween III: Season of the Witch,1983.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,Halloween III: Season of the Witch,Halloween III: Season of the Witch,1982.0,10676.0,0.8174,
